,02 성별,06_나이_반올림,001_오른쪽어깨경사각,002_왼쪽어깨경사각,003_키,005_목뒤높이,017_샅높이,031_몸무게,037_목둘레,038_목밑둘레,039_가슴둘레,040_젖가슴둘레,042_허리둘레,043_배꼽수준허리둘레,044_배둘레,045_엉덩이둘레,052_총길이,054_어깨사이길이,055_어깨가쪽사이길이,063_위팔길이,064_팔길이,065_팔안쪽길이,069_다리가쪽길이,111_머리둘레,121_넙다리둘레,122_넙다리중간둘레,123_무릎둘레,125_장딴지둘레,130_위팔둘레,131_팔꿈치둘레
3441,남,35,16.0,17.0,"1,665","1,430",738.0,80.9,400.0,450.0,"1,007",975,901,940,942,"1,023","1,450",445.0,434.0,337.0,580.0,485.0,"1,020",564.0,645.0,593.0,390.0,432.0,342.0,310.0
3442,남,35,20.0,24.0,"1,749","1,492",769.0,69.6,375.0,442.0,986,940,757,780,790,955,"1,508",414.0,405.0,340.0,595.0,505.0,"1,050",569.0,570.0,517.0,375.0,381.0,312.0,288.0
3443,남,35,26.0,24.0,"1,682","1,439",734.0,71.5,385.0,440.0,942,911,805,840,836,972,"1,455",444.0,442.0,335.0,577.0,500.0,"1,001",587.0,589.0,508.0,367.0,397.0,327.0,291.0
3444,남,39,12.0,18.0,"1,760","1,512",762.0,92.0,410.0,455.0,"1,080","1,040",961,965,965,"1,036","1,526",454.0,446.0,350.0,600.0,500.0,"1,062",575.0,652.0,598.0,387.0,425.0,340.0,306.0
3445,남,37,15.0,20.0,"1,766","1,516",813.0,77.1,390.0,465.0,977,958,890,911,915,982,"1,534",450.0,432.0,350.0,600.0,510.0,"1,090",561.0,586.0,523.0,370.0,367.0,312.0,283.0
3446,남,38,11.0,18.0,"1,700","1,457",746.0,75.4,380.0,443.0,990,980,878,912,903,990,"1,477",397.0,393.0,336.0,592.0,482.0,"1,037",550.0,615.0,544.0,381.0,385.0,333.0,281.0
3447,남,39,15.0,15.0,"1,673","1,441",738.0,85.4,420.0,475.0,"1,050","1,036",915,930,942,"1,010","1,470",434.0,435.0,325.0,565.0,470.0,"1,007",567.0,621.0,583.0,395.0,438.0,351.0,311.0
3448,남,39,20.0,17.0,"1,701","1,476",776.0,78.1,395.0,445.0,966,948,911,892,903,980,"1,499",404.0,397.0,335.0,580.0,478.0,"1,051",546.0,622.0,562.0,393.0,384.0,320.0,292.0
3449,남,37,22.0,22.0,"1,691","1,444",752.0,76.9,390.0,458.0,"1,000",975,886,885,887,970,"1,464",455.0,440.0,340.0,581.0,477.0,"1,020",570.0,581.0,539.0,370.0,405.0,332.0,283.0
3450,남,35,20.0,17.0,"1,699","1,471",812.0,70.7,375.0,430.0,965,942,831,860,858,945,"1,480",442.0,424.0,353.0,605.0,513.0,"1,063",554.0,583.0,538.0,380.0,382.0,322.0,297.0
3451,남,38,18.0,21.0,"1,750","1,514",775.0,83.8,412.0,460.0,"1,012",980,891,898,900,"1,010","1,540",430.0,404.0,330.0,582.0,486.0,"1,077",582.0,640.0,587.0,394.0,433.0,342.0,290.0
3453,남,46,12.0,10.0,"1,746","1,484",752.0,115.4,470.0,491.0,"1,256","1,217","1,164","1,143","1,135","1,195","1,491",481.0,445.0,345.0,595.0,427.0,"1,002",601.0,718.0,659.0,430.0,469.0,402.0,359.0
3455,남,23,22.0,20.0,"1,664","1,429",755.0,80.8,405.0,421.0,"1,021",972,956,965,950,"1,026","1,432",439.0,391.0,360.0,595.0,446.0,"1,018",563.0,655.0,630.0,421.0,415.0,355.0,314.0
3456,남,34,20.0,18.0,"1,694","1,415",754.0,80.2,439.0,457.0,"1,091","1,047",945,950,955,"1,015","1,441",435.0,408.0,319.0,555.0,388.0,"1,005",574.0,591.0,535.0,358.0,423.0,341.0,314.0
3457,남,42,24.0,28.0,"1,699","1,425",763.0,75.6,432.0,449.0,"1,017",941,932,906,910,967,"1,442",462.0,415.0,337.0,575.0,482.0,"1,019",507.0,581.0,531.0,364.0,393.0,303.0,287.0
3458,남,48,20.0,16.0,"1,674","1,425",754.0,75.2,435.0,447.0,"1,016",995,910,897,902,"1,000","1,442",442.0,394.0,347.0,578.0,414.0,997,589.0,574.0,523.0,370.0,402.0,315.0,274.0
3459,남,33,22.0,26.0,"1,794","1,540",842.0,84.5,450.0,468.0,"1,074","1,071",962,961,942,"1,005","1,541",478.0,429.0,349.0,608.0,470.0,"1,102",579.0,605.0,544.0,388.0,374.0,325.0,285.0
3460,남,29,20.0,20.0,"1,800","1,555",814.0,76.1,419.0,427.0,974,902,825,867,870,970,"1,555",460.0,410.0,372.0,615.0,466.0,"1,093",569.0,587.0,498.0,377.0,413.0,305.0,291.0
3461,남,31,24.0,20.0,"1,761","1,510",790.0,71.9,435.0,447.0,906,921,881,875,846,921,"1,512",440.0,393.0,342.0,580.0,441.0,"1,052",560.0,592.0,531.0,364.0,389.0,305.0,283.0
3462,남,43,20.0,14.0,"1,739","1,448",780.0,86.8,438.0,445.0,"1,105","1,059",982,991,985,"1,045","1,452",440.0,404.0,361.0,588.0,434.0,"1,032",602.0,618.0,601.0,387.0,412.0,311.0,308.0
3463,남,23,24.0,12.0,"1,703","1,453",790.0,62.0,366.0,383.0,924,897,733,764,801,914,"1,462",437.0,399.0,331.0,566.0,428.0,"1,062",561.0,536.0,500.0,355.0,356.0,291.0,262.0
3465,남,45,20.0,20.0,"1,653","1,384",683.0,74.5,419.0,422.0,"1,021",985,882,884,881,935,"1,404",435.0,399.0,334.0,555.0,409.0,962,606.0,556.0,529.0,389.0,397.0,310.0,290.0
3466,남,25,20.0,21.0,"1,756","1,464",735.0,87.7,432.0,445.0,"1,096","1,032",885,934,921,"1,019","1,501",487.0,432.0,351.0,593.0,455.0,"1,021",618.0,650.0,607.0,410.0,411.0,367.0,310.0
3467,남,25,24.0,16.0,"1,683","1,400",735.0,71.7,410.0,423.0,"1,031",942,844,862,879,976,"1,415",433.0,409.0,334.0,590.0,448.0,"1,021",589.0,586.0,518.0,379.0,368.0,338.0,304.0
3468,남,25,22.0,18.0,"1,627","1,365",699.0,73.6,411.0,420.0,985,942,860,851,853,979,"1,405",415.0,377.0,315.0,546.0,415.0,981,592.0,600.0,570.0,378.0,425.0,326.0,305.0
3470,남,23,22.0,20.0,"1,650","1,375",710.0,62.5,428.0,439.0,876,851,755,786,811,911,"1,398",393.0,364.0,312.0,529.0,406.0,986,595.0,553.0,484.0,362.0,360.0,315.0,288.0
3475,남,24,20.0,10.0,"1,830","1,565",799.0,129.7,400.0,421.0,"1,261","1,269","1,235","1,260","1,275","1,201","1,611",482.0,442.0,385.0,664.0,514.0,"1,117",609.0,779.0,670.0,446.0,454.0,425.0,340.0
3476,남,24,18.0,14.0,"1,656","1,404",715.0,84.6,448.0,460.0,"1,061","1,030",975,986,969,"1,026","1,422",403.0,368.0,335.0,562.0,427.0,992,595.0,650.0,585.0,393.0,415.0,341.0,290.0
3477,남,24,20.0,22.0,"1,718","1,457",762.0,68.7,401.0,418.0,975,892,826,890,871,931,"1,489",468.0,437.0,349.0,564.0,469.0,"1,066",548.0,545.0,505.0,366.0,358.0,295.0,284.0
